eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2027-01-13,01/13,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,false,false,2027-01-13_8th_girls-basketball,2027-01-13_8th_girls-basketball.jpg,687ea4cf-485b-427a-ba8a-a5315f100c84
2027-01-20,01/20,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,false,false,2027-01-20_8th_boys-basketball,2027-01-20_8th_boys-basketball.jpg,167c255c-b2b5-4a06-b642-63e8008c04d1
2027-01-20,01/20,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,Niles Middle School,,Niles Middle School,Niles Middle School,false,false,2027-01-20_8th_girls-basketball,2027-01-20_8th_girls-basketball.jpg,5ca10b0b-f90f-49c8-9041-a1c011d799c4
2027-01-25,01/25,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,false,false,2027-01-25_8th_boys-basketball,2027-01-25_8th_boys-basketball.jpg,0a3d9443-9ad1-4945-a5e9-c31c36a080ce
2027-01-25,01/25,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,false,false,2027-01-25_8th_girls-basketball,2027-01-25_8th_girls-basketball.jpg,b2820dee-bf4f-409d-b8bb-3e7f29add190
2027-01-27,01/27,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2027-01-27_8th_boys-basketball,2027-01-27_8th_boys-basketball.jpg,20cd98ac-c8bd-4d13-bd62-6160d06d2ad5
2027-01-27,01/27,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2027-01-27_8th_girls-basketball,2027-01-27_8th_girls-basketball.jpg,f6a07e67-6c66-495a-a892-cc210a103d30
2027-02-03,02/03,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,Hubbard MS,,Hubbard MS,Hubbard MS,false,false,2027-02-03_8th_boys-basketball,2027-02-03_8th_boys-basketball.jpg,d736fe3d-7a82-4ba3-a03d-f426918c28af
2027-02-03,02/03,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,false,false,2027-02-03_8th_girls-basketball,2027-02-03_8th_girls-basketball.jpg,9bf9720f-95b7-4098-8382-1ce3098baa53
2027-02-04,02/04,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,Poland Seminary High School,false,false,2027-02-04_8th_boys-basketball,2027-02-04_8th_boys-basketball.jpg,2bb58d54-37f2-4ae7-8e6f-a909c7023c7e
2027-02-04,02/04,Girls Basketball,girls-basketball,8th,8th Grade,06:30 PM,Away,@,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,CANFIELD VILLAGE MIDDLE SCHOOL,false,false,2027-02-04_8th_girls-basketball,2027-02-04_8th_girls-basketball.jpg,54c34a28-f313-442a-ae8a-380c5bdcb5f2
2027-02-06,02/06,Boys Basketball,boys-basketball,8th,8th Grade,TBA,Away,@,North East 8 Basketball Tournament,,North East 8 Basketball Tournament,Hubbard Middle School,false,true,2027-02-06_8th_boys-basketball,2027-02-06_8th_boys-basketball.jpg,95d62c21-5e02-41b7-a0e3-5bb0474fdb62
2027-02-06,02/06,Girls Basketball,girls-basketball,8th,8th Grade,TBA,Away,@,North East 8 Basketball Tournament,,North East 8 Basketball Tournament,South Range Middle School,false,true,2027-02-06_8th_girls-basketball,2027-02-06_8th_girls-basketball.jpg,5e47976a-7529-4fe8-a2fa-06dc204a4285
