eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-05-06,05/06,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-06_boys-soccer,2026-05-06_boys-soccer.jpg,e4520bb7-9541-46ea-9633-0177269f9cbc
2026-05-11,05/11,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-11_boys-soccer,2026-05-11_boys-soccer.jpg,6a684e64-c84c-44c7-9c41-4220af5fd32d
2026-05-13,05/13,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-13_boys-soccer,2026-05-13_boys-soccer.jpg,4474a58d-7426-4851-b44f-091b3341c4d9
2026-05-17,05/17,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-17_boys-soccer,2026-05-17_boys-soccer.jpg,1bb61e48-524f-426e-9bb3-8eef13e980d0
2026-05-18,05/18,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-18_boys-soccer,2026-05-18_boys-soccer.jpg,d327001b-6907-4d19-92c6-6a2423a8ea8a
2026-05-21,05/21,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-21_boys-soccer,2026-05-21_boys-soccer.jpg,78b7dfed-2ced-4ec5-98f8-66ee24b3153d
2026-05-24,05/24,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-24_boys-soccer,2026-05-24_boys-soccer.jpg,0e70eff6-8af1-4deb-87d1-e6b3bd1f60f0
2026-05-26,05/26,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-26_boys-soccer,2026-05-26_boys-soccer.jpg,f54ab8dc-3479-479a-b680-6b7bc325cd02
2026-05-28,05/28,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-28_boys-soccer,2026-05-28_boys-soccer.jpg,3e1748a5-f8fc-48e2-a495-b2f3212b8a13
2026-05-31,05/31,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-31_boys-soccer,2026-05-31_boys-soccer.jpg,b7e3041c-524f-451f-b522-5f459715b3f3
2026-06-01,06/01,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-06-01_boys-soccer,2026-06-01_boys-soccer.jpg,b5a29b61-6c47-4c6a-909f-2ec34f4207d2
2026-06-04,06/04,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-06-04_boys-soccer,2026-06-04_boys-soccer.jpg,018dc21a-825a-4542-b3b3-10d0867724c7
