eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,teamScore,opponentScore,result,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2027-02-08,02/08,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,varsity,Varsity,girls-basketball-varsity,07:00 PM,Home,vs,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Poland Seminary High School,Game,,,,false,false,false,false,2027-02-08_girls-basketball,2027-02-08_girls-basketball.jpg,5f5b2db1-5e2a-4656-9139-af0aa77cbcfe
2027-02-09,02/09,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,varsity,Varsity,boys-basketball-varsity,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,,,,false,false,false,false,2027-02-09_boys-basketball,2027-02-09_boys-basketball.jpg,e0a30afa-a382-4fd7-90f9-b5120f7537b7
2027-02-10,02/10,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,varsity,Varsity,girls-basketball-varsity,07:00 PM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,Game,,,,false,false,false,false,2027-02-10_girls-basketball,2027-02-10_girls-basketball.jpg,0a753356-2c5e-403b-b1da-57eee4ada052
2027-02-12,02/12,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,varsity,Varsity,boys-basketball-varsity,07:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,,,,false,false,false,true,2027-02-12_boys-basketball,2027-02-12_boys-basketball.jpg,50a2463a-92c9-49ca-bb6a-7b759badc4af
2027-02-16,02/16,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,varsity,Varsity,boys-basketball-varsity,07:00 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,,,,false,false,false,false,2027-02-16_boys-basketball,2027-02-16_boys-basketball.jpg,0fe31abb-b278-4db9-b9d5-72a0da7614a4
2027-02-19,02/19,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,varsity,Varsity,boys-basketball-varsity,07:00 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,,,,false,false,false,false,2027-02-19_boys-basketball,2027-02-19_boys-basketball.jpg,17dbfb86-4c87-40ef-a1c0-77ffb282648e
2027-02-19,02/19,2026-2027,Winter,Swim & Dive,swim-dive,Co-ed,varsity,Varsity,swimming-diving-varsity,TBA,Away,@,OPEN,,OPEN,University of Akron,Game,,,,false,false,true,false,2027-02-19_swim-dive,2027-02-19_swim-dive.jpg,243f9d64-f6bf-4f09-aad1-7db4d557e860
2027-02-19,02/19,2026-2027,Winter,Swim & Dive,swim-dive,Co-ed,varsity,Varsity,swimming-diving-varsity,TBA,Away,@,OPEN,,OPEN,Cleveland State University,Game,,,,false,false,true,false,2027-02-19_swim-dive-1,2027-02-19_swim-dive-1.jpg,aef1f62f-51e6-45fe-9649-2a20ddf093cd
2027-03-24,03/24,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,04:30 PM,Away,@,Mohawk High School,,Mohawk High School,Mohawk High School,Scrimmage,,,,false,false,false,false,2027-03-24_baseball,2027-03-24_baseball.jpg,2bb83149-148c-4f39-8763-5cebdb62b659
2027-04-02,04/02,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,Springfield Local,,Springfield Local,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-02_baseball,2027-04-02_baseball.jpg,411e2df7-e7e9-4f93-92a5-357bfc95161b
2027-04-07,04/07,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Away,@,Ursuline,Fighting Irish,Ursuline Fighting Irish,Cene Park,Game,,,,false,false,false,false,2027-04-07_baseball,2027-04-07_baseball.jpg,6e6f75b0-7154-4c14-a516-32770cb5133a
2027-04-08,04/08,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-08_baseball,2027-04-08_baseball.jpg,a0a0b149-c5ef-4d28-ab84-e8d213b08ff8
2027-04-10,04/10,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,12:00 PM,Home,vs,Mineral Ridge,Rams,Mineral Ridge Rams,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-10_baseball,2027-04-10_baseball.jpg,6e5b1ea6-8a5c-4b92-b915-593e2824c680
2027-04-15,04/15,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-15_baseball,2027-04-15_baseball.jpg,71b182bd-bf12-4f40-b2b9-6153fa61abf0
2027-04-16,04/16,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,McDonald,Blue Devils,McDonald Blue Devils,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-16_baseball,2027-04-16_baseball.jpg,2bd08052-a8dc-4e8f-8d12-b49e5ad4df8a
2027-04-22,04/22,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,,,,false,false,false,false,2027-04-22_baseball,2027-04-22_baseball.jpg,3d6c7ad6-a4be-4b39-ac1b-01e404dc4593
2027-04-29,04/29,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,New Castle HS,,New Castle HS,Poland Seminary High School,Game,,,,false,false,false,false,2027-04-29_baseball,2027-04-29_baseball.jpg,93f67c8f-4183-4467-855b-3db11e9b6c1c
2027-05-13,05/13,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,05:00 PM,Home,vs,Columbiana,Clippers,Columbiana Clippers,Poland Seminary High School,Game,,,,false,false,false,false,2027-05-13_baseball,2027-05-13_baseball.jpg,737dfe40-ef2c-4256-a3eb-d050ea8ab1e0
2027-05-14,05/14,2027,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,07:00 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,Game,,,,false,false,false,false,2027-05-14_baseball,2027-05-14_baseball.jpg,afe53264-444f-4c20-9a4f-3e0a3c4350e8
