eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-12-01,12/01,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Home,vs,Badger,Braves,Badger Braves,Poland Seminary High School,false,false,2025-12-01_jv_girls-basketball,2025-12-01_jv_girls-basketball.jpg,a0a8d8df-80d8-437d-8a30-a2ae1e7e5872
2025-12-04,12/04,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,false,false,2025-12-04_jv_girls-basketball,2025-12-04_jv_girls-basketball.jpg,5547bac9-d5fc-493f-9489-a4d0e0cbbaa3
2025-12-08,12/08,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,false,false,2025-12-08_jv_girls-basketball,2025-12-08_jv_girls-basketball.jpg,bfa42d3c-3d63-4113-8be2-5e29da9d4608
2025-12-09,12/09,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,false,false,2025-12-09_jv_boys-basketball,2025-12-09_jv_boys-basketball.jpg,31418c7f-ba75-4034-bc8f-1879cbe271a8
2025-12-12,12/12,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-12-12_jv_boys-basketball,2025-12-12_jv_boys-basketball.jpg,f6e7960f-cc53-478c-a343-f7bce8e4057c
2025-12-15,12/15,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-12-15_jv_girls-basketball,2025-12-15_jv_girls-basketball.jpg,44c968f1-88a1-4b2e-8b5b-614e8101f3d9
2025-12-16,12/16,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-12-16_jv_boys-basketball,2025-12-16_jv_boys-basketball.jpg,2440da86-410f-408e-a1a6-be10e6cd15c5
2025-12-18,12/18,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2025-12-18_jv_girls-basketball,2025-12-18_jv_girls-basketball.jpg,263ff5d1-a339-4016-b837-6b02f6c4a7ae
2025-12-19,12/19,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2025-12-19_jv_boys-basketball,2025-12-19_jv_boys-basketball.jpg,0ff92e50-5e21-4b68-b24e-779f93910f11
2025-12-20,12/20,Girls Basketball,girls-basketball,jv,JV,11:00 AM,Away,@,LaBrae,Vikings,LaBrae Vikings,Labrae High School,false,false,2025-12-20_jv_girls-basketball,2025-12-20_jv_girls-basketball.jpg,eb030ec6-9bb4-4d35-86f9-74d5342e4d6a
2025-12-22,12/22,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2025-12-22_jv_girls-basketball,2025-12-22_jv_girls-basketball.jpg,86a6c1c6-4a80-4507-926c-691ddbc515a2
